//arm station octant half gap channel
0 1 0 0 0 130
0 1 0 0 0 131
0 1 0 0 0 132
0 1 0 0 0 133
0 1 0 0 0 134
0 1 0 0 0 135
0 1 0 0 0 136
0 1 0 0 0 137
0 1 0 1 0 109
0 1 0 1 0 110
0 1 0 1 0 111
0 1 0 1 0 112
0 1 0 1 0 113
0 1 0 1 0 114
0 1 0 1 0 115
0 1 0 1 0 116
0 1 0 1 0 117
0 1 0 1 0 118
0 1 0 1 0 119
0 1 0 1 0 120
0 1 0 1 0 121
0 1 0 1 0 122
0 1 0 1 0 123
0 1 0 1 0 124
0 1 0 1 0 125
0 1 0 1 0 126
0 1 0 1 0 127
0 1 0 1 0 128
0 1 0 1 0 129
0 1 0 1 0 130
0 1 0 1 0 131
0 1 0 1 0 132
0 1 0 1 0 133
0 1 0 1 0 134
0 1 0 1 0 135
0 1 0 1 0 136
0 1 0 1 0 137
0 1 0 0 2 77
0 1 0 0 2 78
0 1 0 0 2 79
0 1 0 0 2 80
0 1 0 0 2 81
0 1 0 0 2 82
0 1 0 0 2 83
0 1 0 0 2 84
0 1 0 0 2 85
0 1 0 0 2 86
0 1 0 0 2 87
0 1 0 0 2 88
0 1 0 0 2 89
0 1 0 0 2 90
0 1 0 0 2 91
0 1 0 0 2 92
0 1 0 0 2 93
0 1 0 0 2 94
0 1 0 0 2 95
0 1 0 0 2 96
0 1 0 0 2 97
0 1 0 0 2 98
0 1 0 0 2 99
0 1 0 0 2 100
0 1 0 0 2 101
0 1 0 0 2 102
0 1 0 0 2 103
0 1 0 0 2 104
0 1 0 0 2 105
0 1 0 0 2 106
0 1 0 0 2 107
0 1 0 0 2 108
0 1 0 1 2 77
0 1 0 1 2 78
0 1 0 1 2 79
0 1 0 1 2 80
0 1 0 1 2 81
0 1 0 1 2 82
0 1 0 1 2 83
0 1 0 1 2 84
0 1 0 1 2 85
0 1 0 1 2 86
0 1 0 1 2 87
0 1 0 1 2 88
0 1 0 1 2 89
0 1 0 1 2 90
0 1 0 1 2 91
0 1 0 1 2 92
0 1 0 1 2 93
0 1 0 1 2 94
0 1 0 1 2 95
0 1 0 1 2 96
0 1 0 1 2 97
0 1 0 1 2 98
0 1 0 1 2 99
0 1 0 1 2 100
0 1 0 1 2 101
0 1 0 1 2 102
0 1 0 1 2 103
0 1 0 1 2 104
0 1 0 1 2 105
0 1 0 1 2 106
0 1 0 1 2 107
0 1 0 1 2 108
0 2 5 0 0 32
0 2 5 0 0 33
0 2 5 0 0 34
0 2 5 0 0 35
0 2 5 0 0 36
0 2 5 0 0 37
0 2 5 0 0 38
0 2 5 0 0 39
0 2 5 0 0 40
0 2 5 0 0 41
0 2 5 0 0 42
0 2 5 0 0 43
0 2 5 0 0 44
0 2 5 0 0 45
0 2 5 0 0 46
0 2 5 0 0 47
0 2 5 0 0 48
0 2 5 0 0 49
0 2 5 0 0 50
0 2 5 0 0 51
0 2 5 0 0 52
0 2 5 0 0 53
0 2 5 0 0 54
0 2 5 0 0 55
0 2 5 0 0 56
0 2 5 0 0 57
0 2 5 0 0 58
0 2 5 0 0 59
0 2 5 0 0 60
0 2 5 0 0 61
0 2 5 0 0 62
0 2 5 0 0 63
0 2 5 1 0 32
0 2 5 1 0 33
0 2 5 1 0 34
0 2 5 1 0 35
0 2 5 1 0 36
0 2 5 1 0 37
0 2 5 1 0 38
0 2 5 1 0 39
0 2 5 1 0 40
0 2 5 1 0 41
0 2 5 1 0 42
0 2 5 1 0 43
0 2 5 1 0 44
0 2 5 1 0 45
0 2 5 1 0 46
0 2 5 1 0 47
0 2 5 1 0 48
0 2 5 1 0 49
0 2 5 1 0 50
0 2 5 1 0 51
0 2 5 1 0 52
0 2 5 1 0 53
0 2 5 1 0 54
0 2 5 1 0 55
0 2 5 1 0 56
0 2 5 1 0 57
0 2 5 1 0 58
0 2 5 1 0 59
0 2 5 1 0 60
0 2 5 1 0 61
0 2 5 1 0 62
0 2 5 1 0 63
1 0 5 0 1 48
1 0 5 0 1 49
1 0 5 0 1 50
1 0 5 0 1 51
1 0 5 0 1 52
1 0 5 0 1 53
1 0 5 0 1 54
1 0 5 0 1 55
1 0 5 0 1 56
1 0 5 0 1 57
1 0 5 0 1 58
1 0 5 0 1 59
1 0 5 0 1 60
1 0 5 0 1 61
1 0 5 0 1 62
1 0 5 0 1 63
1 0 5 1 1 48
1 0 5 1 1 49
1 0 5 1 1 50
1 0 5 1 1 51
1 0 5 1 1 52
1 0 5 1 1 53
1 0 5 1 1 54
1 0 5 1 1 55
1 0 5 1 1 56
1 0 5 1 1 57
1 0 5 1 1 58
1 0 5 1 1 59
1 0 5 1 1 60
1 0 5 1 1 61
1 0 5 1 1 62
1 0 5 1 1 63
1 1 1 0 0 0
1 1 1 0 0 1
1 1 1 0 0 2
1 1 1 0 0 3
1 1 1 0 0 4
1 1 1 0 0 5
1 1 1 0 0 6
1 1 1 0 0 7
1 1 1 0 0 8
1 1 1 0 0 9
1 1 1 0 0 10
1 1 1 0 0 11
1 1 1 0 0 12
1 1 1 0 0 13
1 1 1 0 0 14
1 1 1 0 0 15
1 1 1 0 0 16
1 1 1 0 0 17
1 1 1 0 0 18
1 1 1 0 0 19
1 1 1 0 0 20
1 1 1 0 0 21
1 1 1 0 0 22
1 1 1 0 0 23
1 1 1 0 0 24
1 1 1 0 0 25
1 1 1 0 0 26
1 1 1 0 0 27
1 1 1 0 0 28
1 1 1 0 0 29
1 1 1 0 0 30
1 1 1 0 0 31
1 1 1 1 0 0
1 1 1 1 0 1
1 1 1 1 0 2
1 1 1 1 0 3
1 1 1 1 0 4
1 1 1 1 0 5
1 1 1 1 0 6
1 1 1 1 0 7
1 1 1 1 0 8
1 1 1 1 0 9
1 1 1 1 0 10
1 1 1 1 0 11
1 1 1 1 0 12
1 1 1 1 0 13
1 1 1 1 0 14
1 1 1 1 0 15
1 1 1 1 0 16
1 1 1 1 0 17
1 1 1 1 0 18
1 1 1 1 0 19
1 1 1 1 0 20
1 1 1 1 0 21
1 1 1 1 0 22
1 1 1 1 0 23
1 1 1 1 0 24
1 1 1 1 0 25
1 1 1 1 0 26
1 1 1 1 0 27
1 1 1 1 0 28
1 1 1 1 0 29
1 1 1 1 0 30
1 1 1 1 0 31
1 1 4 0 1 64
1 1 4 0 1 65
1 1 4 0 1 66
1 1 4 0 1 67
1 1 4 0 1 68
1 1 4 0 1 69
1 1 4 0 1 70
1 1 4 0 1 71
1 1 4 0 1 72
1 1 4 0 1 73
1 1 4 0 1 74
1 1 4 0 1 75
1 1 4 0 1 76
1 1 4 0 1 77
1 1 4 0 1 78
1 1 4 0 1 79
1 1 4 0 1 80
1 1 4 0 1 81
1 1 4 0 1 82
1 1 4 0 1 83
1 1 4 0 1 84
1 1 4 0 1 85
1 1 4 0 1 86
1 1 4 0 1 87
1 1 4 0 1 88
1 1 4 0 1 89
1 1 4 0 1 90
1 1 4 0 1 91
1 1 4 0 1 92
1 1 4 0 1 93
1 1 4 0 1 94
1 1 4 0 1 95
1 1 4 1 1 64
1 1 4 1 1 65
1 1 4 1 1 66
1 1 4 1 1 67
1 1 4 1 1 68
1 1 4 1 1 69
1 1 4 1 1 70
1 1 4 1 1 71
1 1 4 1 1 72
1 1 4 1 1 73
1 1 4 1 1 74
1 1 4 1 1 75
1 1 4 1 1 76
1 1 4 1 1 77
1 1 4 1 1 78
1 1 4 1 1 79
1 1 4 1 1 80
1 1 4 1 1 81
1 1 4 1 1 82
1 1 4 1 1 83
1 1 4 1 1 84
1 1 4 1 1 85
1 1 4 1 1 86
1 1 4 1 1 87
1 1 4 1 1 88
1 1 4 1 1 89
1 1 4 1 1 90
1 1 4 1 1 91
1 1 4 1 1 92
1 1 4 1 1 93
1 1 4 1 1 94
1 1 4 1 1 95
//new begin
1 1 6 0 2 64
1 1 6 0 2 65
1 1 6 0 2 66
1 1 6 0 2 67
1 1 6 0 2 68
1 1 6 0 2 69
1 1 6 0 2 70
1 1 6 0 2 71
1 1 6 0 2 72
1 1 6 0 2 73
1 1 6 0 2 74
1 1 6 0 2 75
1 1 6 0 2 76
1 1 6 0 2 77
1 1 6 0 2 78
1 1 6 0 2 79
1 1 6 0 2 80
1 1 6 0 2 81
1 1 6 0 2 82
1 1 6 0 2 83
1 1 6 0 2 84
1 1 6 0 2 85
1 1 6 0 2 86
1 1 6 0 2 87
1 1 6 0 2 88
1 1 6 0 2 89
1 1 6 0 2 90
1 1 6 0 2 91
1 1 6 0 2 92
1 1 6 0 2 93
1 1 6 0 2 94
1 1 6 0 2 95
1 1 6 1 2 64
1 1 6 1 2 65
1 1 6 1 2 66
1 1 6 1 2 67
1 1 6 1 2 68
1 1 6 1 2 69
1 1 6 1 2 70
1 1 6 1 2 71
1 1 6 1 2 72
1 1 6 1 2 73
1 1 6 1 2 74
1 1 6 1 2 75
1 1 6 1 2 76
1 1 6 1 2 77
1 1 6 1 2 78
1 1 6 1 2 79
1 1 6 1 2 80
1 1 6 1 2 81
1 1 6 1 2 82
1 1 6 1 2 83
1 1 6 1 2 84
1 1 6 1 2 85
1 1 6 1 2 86
1 1 6 1 2 87
1 1 6 1 2 88
1 1 6 1 2 89
1 1 6 1 2 90
1 1 6 1 2 91
1 1 6 1 2 92
1 1 6 1 2 93
1 1 6 1 2 94
1 1 6 1 2 95
//new end
1 2 6 0 0 128
1 2 6 0 0 129
1 2 6 0 0 130
1 2 6 0 0 131
1 2 6 0 0 132
1 2 6 0 0 133
1 2 6 0 0 134
1 2 6 0 0 135
1 2 6 0 0 136
1 2 6 0 0 137
1 2 6 0 0 138
1 2 6 0 0 139
1 2 6 0 0 140
1 2 6 0 0 141
1 2 6 0 0 142
1 2 6 0 0 143
1 2 6 0 0 144
1 2 6 0 0 145
1 2 6 0 0 146
1 2 6 0 0 147
1 2 6 0 0 148
1 2 6 0 0 149
1 2 6 0 0 150
1 2 6 0 0 151
1 2 6 0 0 152
1 2 6 0 0 153
1 2 6 0 0 154
1 2 6 0 0 155
1 2 6 0 0 156
1 2 6 0 0 157
1 2 6 0 0 158
1 2 6 0 0 159
1 2 6 1 0 128
1 2 6 1 0 129
1 2 6 1 0 130
1 2 6 1 0 131
1 2 6 1 0 132
1 2 6 1 0 133
1 2 6 1 0 134
1 2 6 1 0 135
1 2 6 1 0 136
1 2 6 1 0 137
1 2 6 1 0 138
1 2 6 1 0 139
1 2 6 1 0 140
1 2 6 1 0 141
1 2 6 1 0 142
1 2 6 1 0 143
1 2 6 1 0 144
1 2 6 1 0 145
1 2 6 1 0 146
1 2 6 1 0 147
1 2 6 1 0 148
1 2 6 1 0 149
1 2 6 1 0 150
1 2 6 1 0 151
1 2 6 1 0 152
1 2 6 1 0 153
1 2 6 1 0 154
1 2 6 1 0 155
1 2 6 1 0 156
1 2 6 1 0 157
1 2 6 1 0 158
1 2 6 1 0 159
1 2 6 0 0 160
1 2 6 0 0 161
1 2 6 0 0 162
1 2 6 0 0 163
1 2 6 0 0 164
1 2 6 0 0 165
1 2 6 0 0 166
1 2 6 0 0 167
1 2 6 0 0 168
1 2 6 0 0 169
1 2 6 0 0 170
1 2 6 0 0 171
1 2 6 0 0 172
1 2 6 0 0 173
1 2 6 0 0 174
1 2 6 0 0 175
1 2 6 0 0 176
1 2 6 0 0 177
1 2 6 0 0 178
1 2 6 0 0 179
1 2 6 0 0 180
1 2 6 0 0 181
1 2 6 0 0 182
1 2 6 0 0 183
1 2 6 0 0 184
1 2 6 0 0 185
1 2 6 0 0 186
1 2 6 0 0 187
1 2 6 0 0 188
1 2 6 0 0 189
1 2 6 0 0 190
1 2 6 0 0 191
1 2 6 1 0 160
1 2 6 1 0 161
1 2 6 1 0 162
1 2 6 1 0 163
1 2 6 1 0 164
1 2 6 1 0 165
1 2 6 1 0 166
1 2 6 1 0 167
1 2 6 1 0 168
1 2 6 1 0 169
1 2 6 1 0 170
1 2 6 1 0 171
1 2 6 1 0 172
1 2 6 1 0 173
1 2 6 1 0 174
1 2 6 1 0 175
1 2 6 1 0 176
1 2 6 1 0 177
1 2 6 1 0 178
1 2 6 1 0 179
1 2 6 1 0 180
1 2 6 1 0 181
1 2 6 1 0 182
1 2 6 1 0 183
1 2 6 1 0 184
1 2 6 1 0 185
1 2 6 1 0 186
1 2 6 1 0 187
1 2 6 1 0 188
1 2 6 1 0 189
1 2 6 1 0 190
1 2 6 1 0 191
